promo_id,distributor_id,start_date,end_date,discount_type,discount_value,products,description
P1000,D003,07/30/2023,2023-08-10,fixed,3.94,"CH-06-1500,CH-05-375,CH-07-750",Local event tie-in
P1001,D004,03/17/2024,2024-03-29,fixed,3.1,CH-03-750,Flash sale
P1002,D004,2024-08-11,2024-08-23,percent,23.71,"CH-04-375,CH-04-750",Holiday bundle
P1003,D002,2024-06-02,2024-06-09,fixed,2.75,"CH-03-375,CH-04-375,CH-07-1500",Restaurant pairing
P1004,D004,2024-02-25,2024-03-11,percent,16.06,"CH-03-1500,CH-07-375,CH-02-375",Local event tie-in
P1005,D002,2024-09-29,13-10-2024,percent,13.4,"CH-02-750,CH-07-375",Local event tie-in
P1006,D001,11/12/2023,19-11-2023,fixed,4.43,"CH-04-750,CH-07-750,CH-04-375",Restaurant pairing
P1007,D002,05/28/2023,06-06-2023,fixed,9.7,"CH-04-375,CH-06-375,CH-02-375",Flash sale
P1008,D003,2023-03-05,,percent,6.88,"CH-04-750,CH-01-1500",Holiday bundle
P1009,D004,11/24/2024,,fixed,7.27,"CH-02-1500,CH-04-375,CH-03-375",Influencer coupon
P1010,D004,2023-10-01,06-10-2023,fixed,7.46,CH-06-750,Holiday bundle
P1011,D001,2023-09-17,05-10-2023,percent,16.61,"CH-04-375,CH-01-750,CH-04-750",Local event tie-in
P1012,D001,2024-10-06,2024-10-22,percent,6.67,CH-01-375,Restaurant pairing
P1013,D004,06/01/2025,16-06-2025,fixed,2.58,"CH-07-1500,CH-04-750",Influencer coupon
P1014,D001,2023-04-16,,percent,5.23,"CH-06-375,CH-06-1500",Restaurant pairing
P1015,D004,05/26/2024,2024-06-07,percent,23.38,"CH-03-750,CH-06-750,CH-05-375",Local event tie-in
P1016,D003,04/30/2023,,fixed,6.67,CH-04-750,Holiday bundle
P1017,D001,05/07/2023,21-05-2023,fixed,8.48,"CH-06-375,CH-02-375,CH-04-375",Holiday bundle
P1018,D004,2023-05-21,2023-06-08,fixed,4.01,CH-02-750,Restaurant pairing
P1019,D001,2024-10-13,,percent,17.79,"CH-02-750,CH-03-750,CH-07-750",Local event tie-in
P1020,D001,06/09/2024,26-06-2024,percent,10.16,CH-07-375,Restaurant pairing
P1021,D002,2024-01-21,02-02-2024,fixed,4.23,CH-05-375,Local event tie-in
P1022,D001,01/08/2023,18-01-2023,fixed,4.95,"CH-06-375,CH-03-1500",Holiday bundle
P1023,D004,2025-02-02,12-02-2025,percent,16.87,"CH-07-750,CH-03-375",Restaurant pairing
P1024,D003,01/26/2025,2025-02-09,fixed,4.92,"CH-06-750,CH-04-375",Local event tie-in
P1025,D002,01/07/2024,13-01-2024,fixed,7.69,CH-03-1500,Holiday bundle
P1026,D003,2023-06-25,2023-07-13,percent,7.33,"CH-05-375,CH-04-375,CH-03-375",Restaurant pairing
P1027,D004,05/25/2025,01-06-2025,percent,9.71,"CH-07-750,CH-07-1500",Influencer coupon
P1028,D002,04/23/2023,12-05-2023,fixed,7.55,"CH-06-375,CH-04-375,CH-03-750",Flash sale
P1029,D004,2024-01-14,28-01-2024,fixed,6.02,CH-01-375,Restaurant pairing
P1030,D002,2024-12-22,01-01-2025,fixed,6.05,CH-04-375,Restaurant pairing
P1031,D002,2024-04-28,13-05-2024,percent,8.31,"CH-05-375,CH-02-1500",Influencer coupon
P1032,D004,2024-12-08,2024-12-20,percent,14.05,"CH-06-375,CH-01-1500,CH-05-750",Restaurant pairing
P1033,D001,2024-04-14,,fixed,8.0,"CH-02-375,CH-07-750,CH-03-1500",Local event tie-in
P1034,D003,12/29/2024,2025-01-05,fixed,9.18,"CH-02-375,CH-01-750",Influencer coupon
P1035,D004,06/11/2023,2023-06-30,fixed,5.18,CH-03-750,Flash sale
P1036,D001,2023-12-03,13-12-2023,fixed,6.99,"CH-05-375,CH-02-750",Local event tie-in
P1037,D001,2024-10-27,2024-11-11,fixed,9.2,"CH-03-375,CH-01-1500",Holiday bundle
P1038,D002,07/28/2024,,percent,8.51,CH-04-1500,Local event tie-in
P1039,D002,2024-09-15,2024-09-22,fixed,6.32,"CH-02-375,CH-04-1500,CH-07-1500",Flash sale
P1040,D004,2025-03-23,2025-04-05,percent,10.44,"CH-02-375,CH-01-750",Influencer coupon
P1041,D003,02/18/2024,2024-02-29,fixed,2.41,"CH-02-375,CH-05-375",Holiday bundle
P1042,D004,12/10/2023,26-12-2023,fixed,6.77,"CH-06-1500,CH-05-750,CH-07-375",Local event tie-in
P1043,D001,11/03/2024,,fixed,2.17,"CH-07-375,CH-04-375,CH-04-1500",Local event tie-in
P1044,D003,2025-04-27,2025-05-12,fixed,7.72,CH-07-1500,Flash sale
P1045,D001,2024-04-21,29-04-2024,fixed,3.85,CH-02-375,Local event tie-in
P1046,D001,2024-08-04,2024-08-18,percent,20.16,"CH-04-375,CH-06-1500",Restaurant pairing
P1047,D004,2024-08-25,2024-09-09,percent,6.74,"CH-04-750,CH-02-375,CH-03-375",Influencer coupon
P1048,D002,12/01/2024,,fixed,7.27,CH-04-1500,Local event tie-in
P1049,D004,2023-09-24,2023-10-12,fixed,6.45,CH-07-750,Flash sale
P1050,D003,06/18/2023,25-06-2023,fixed,8.17,"CH-06-375,CH-05-375,CH-07-375",Local event tie-in
P1051,D003,2024-02-04,2024-02-19,fixed,5.75,CH-04-375,Restaurant pairing
P1052,D003,03/30/2025,2025-04-15,percent,11.24,"CH-04-375,CH-07-1500",Influencer coupon
P1053,D002,2023-07-23,2023-08-10,fixed,8.37,CH-07-750,Influencer coupon
P1054,D001,2023-05-14,19-05-2023,percent,20.14,"CH-06-375,CH-01-1500",Local event tie-in
P1055,D002,2024-07-21,09-08-2024,fixed,6.54,"CH-07-750,CH-06-750",Flash sale
P1056,D001,10/20/2024,27-10-2024,fixed,6.38,"CH-06-375,CH-06-750",Influencer coupon
P1057,D003,04/07/2024,15-04-2024,fixed,4.66,CH-06-1500,Flash sale
P1058,D003,03/31/2024,10-04-2024,fixed,6.78,"CH-06-1500,CH-04-750",Flash sale
P1059,D003,02/05/2023,12-02-2023,percent,13.91,"CH-05-375,CH-05-750,CH-06-375",Restaurant pairing
